ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0007409,axonogenesis,173/5224,430/18800,1.220724521075526e-8,6.551520593530703e-6,5.217087445389635e-6,6091/56896/7422/23114/1946/3908/4135/5728/2932/8239/55079/64919/3670/5361/494470/65059/4089/3688/2047/4130/57611/347733/53942/4781/2049/288/203228/9890/54915/85458/284656/7074/1909/56288/6683/2534/1272/3798/8577/4853/57609/10154/1605/64843/57731/1808/57679/5781/54413/7504/1826/5979/9331/3913/2664/9211/885/10371/4929/65078/85440/7976/123016/81565/9423/2297/8301/80031/10752/25/2803/8633/4684/9369/5058/200933/27185/1945/1944/10501/4099/23390/9175/7414/8766/658/4851/5362/322/2736/6498/4858/6722/1949/345651/8831/23111/10890/152330/63923/6812/57715/5818/4131/25987/5458/3996/4915/219699/23303/4038/23566/10507/84189/7204/10505/9798/2263/54910/5048/27020/26037/1954/9378/22902/2011/64855/8929/575/54538/10509/8153/1889/5727/3918/57698/1385/3925/2737/11023/9037/2043/4168/6049/139065/3984/9637/214/9344/10211/4884/8650/5663/8022/3480/57556/60/1942/1141/1436/9241/9499/91653/6654/729920/10500/5879/22865/627/9706/2017/4009/10090,173
BP,GO:0060541,respiratory system development,94/5224,203/18800,1.2390582682800383e-8,6.551520593530703e-6,5.217087445389635e-6,1281/9509/7965/7422/4015/8817/55294/3976/1896/998/100/3158/2033/10630/4781/55512/28511/7067/10252/57493/538/6720/5159/10551/1605/1181/5251/5154/2002/5916/342371/6662/7534/84525/55636/10905/3845/84695/10365/1544/26154/1116/4851/23657/5754/2736/51804/6722/10454/157506/54206/23322/2627/51501/4087/2263/2246/3988/6664/5499/8929/57333/28512/3596/1385/3488/2254/7068/2737/3202/79977/6497/23414/51057/1490/5156/8022/339829/3516/10247/7048/9394/83716/7547/9241/54542/2252/5629/6670/340419/6431/3694/6493/2034,94
BP,GO:0061564,axon development,189/5224,479/18800,1.515773374967297e-8,7.398140049359615e-6,5.8912649391441496e-6,6091/56896/7422/23114/2348/1946/3908/4135/5728/9315/2932/8239/55079/64919/3670/5361/494470/65059/4089/9314/1268/3688/2047/4130/5354/57611/347733/53942/4781/2049/288/79805/203228/9890/54915/85458/284656/7074/1909/56288/6683/2534/1272/3798/8577/4853/57609/10154/1605/64843/57731/1495/1808/57679/5781/54413/7504/1826/5979/9331/3913/2664/9211/885/10371/4929/2281/65078/85440/7976/123016/81565/9423/2297/8301/80031/10752/25/2803/8633/4684/9369/5058/200933/27185/1945/1944/10501/4099/23390/9175/7414/8766/658/4851/5362/322/2736/374969/6498/4858/6722/1949/345651/4548/8831/23111/10890/152330/63923/836/6812/57715/5818/4131/25987/5458/3996/4915/219699/23303/4038/23566/10507/84189/7204/10505/9798/2263/54910/5048/2316/27020/26037/1954/9378/22902/2011/64855/8929/575/54538/10509/8153/1889/5727/3918/57698/1385/3925/2737/11023/9037/2043/4168/6049/139065/3984/9637/214/9344/10211/4884/8650/5663/8022/23271/3480/57556/60/1942/1141/8428/1436/9241/9499/91653/22954/6654/729920/10500/5764/5879/22865/627/9706/2017/4009/10090,189
BP,GO:0043087,regulation of GTPase activity,149/5224,364/18800,3.394640150447267e-8,1.5384994110419936e-5,1.2251332873794648e-5,6356/858/10979/1946/5996/3987/23143/51256/57589/2932/9448/10276/65125/5361/11138/51195/9649/9712/8853/5910/154796/10982/23380/3688/5592/255520/163486/208/55255/121512/55920/2049/50848/203228/92154/6376/5906/10252/7074/4739/51429/64411/3655/9938/10154/9750/2475/1965/57679/11211/5921/112574/10344/9693/65078/5922/85440/11069/123016/81565/8301/26000/6363/6367/4916/5923/120892/409/2245/55785/9910/8826/1124/6001/50807/4763/5999/5362/64786/23094/128637/7813/122553/8831/129049/10451/4301/6251/221002/23102/5900/4915/23329/115727/146923/128239/5962/10507/10563/9771/6346/23216/5048/9098/26037/10999/29/23677/141/5924/8502/1236/51291/125058/374403/4649/3925/55531/81704/253260/51735/55616/10928/6354/2043/10681/25771/93627/132864/153/6000/23348/395/1399/6281/57533/116/23179/23232/613/83478/81846/23616/6357/1901/4594/22841/6654/25791,149
BP,GO:0018105,peptidyl-serine phosphorylation,132/5224,315/18800,3.978369729532e-8,1.6828503955920362e-5,1.340082435210779e-5,64324/375449/7422/1455/6446/5728/204851/2932/10000/9874/4139/65125/8658/3976/578/3458/127933/493/6199/799/208/5155/1456/4140/11009/1389/23139/6198/1812/23049/2475/4515/57731/23012/8317/5979/624/1017/5601/5217/53944/27347/96459/84630/817/147746/85440/1452/5599/9125/51763/5144/54541/28996/5058/10178/4916/23031/120892/409/5584/57600/7786/8440/11235/1756/6196/9175/5563/5593/6789/9647/3452/5566/10114/4842/4915/26524/23678/5578/1147/51701/4294/857/2056/6197/6300/1457/6195/2011/1432/9530/25989/8536/5579/3059/5894/5598/2872/284/5743/3444/5290/3449/253260/57118/9451/5613/5581/9149/1859/983/11200/152559/25865/10142/23228/11315/7048/7037/84930/5586/51719/83942/627/9706/23515/219736/23171/10783/8444/5587,132
BP,GO:0061448,connective tissue development,112/5224,260/18800,7.428737347482543e-8,2.9459586543610458e-05,2.3459170570997502e-5,1281/1277/1280/1301/1289/4015/57561/8817/139285/11173/8372/2202/6653/23411/359845/6781/22856/5915/10424/5744/4017/3158/871/5467/4781/5155/55512/5396/85301/3221/7067/3952/538/5159/10891/9321/55553/5781/80856/947/3200/649/6688/6615/4209/1019/1302/860/5916/2487/2297/6662/399979/861/84159/4856/64641/1116/658/5019/4851/7227/6660/6722/23111/3207/51320/25987/5458/2690/54928/2101/3570/2121/23314/1432/25979/5745/91252/9350/4094/2254/3091/5290/4256/2737/9451/3202/9149/3696/1490/5925/4088/56914/4090/114789/89766/7048/80310/3491/651/9517/9241/27302/202018/392255/64764/340419/11061/4208/130497/265,112
BP,GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,164/5224,414/18800,9.879215214966284e-8,3.6872717964094754e-5,2.936237339432704e-5,25897/81858/10116/80232/7844/9618/54442/2932/28951/51377/64795/55139/55294/9655/23411/7328/57542/25852/329/55743/3093/114088/116138/344558/4130/11160/10277/55968/54994/57805/25853/25937/4193/5713/6599/116988/819/9870/30009/51322/7126/9354/23607/51465/92369/154214/57162/9491/1017/79018/5601/79845/27252/26232/84937/1452/8453/57630/80267/4734/79139/5094/5887/84961/6502/200933/7514/23640/23327/131377/10299/120892/409/11253/8924/2729/64777/55432/10425/162517/7323/144165/91544/201595/93611/9683/5716/126433/79016/6400/84101/11059/10973/9112/57761/57531/5701/10221/166979/64839/7326/51676/27351/10206/387921/25898/79699/144699/10616/54557/91445/6468/9320/84447/857/57154/122809/54620/283807/5071/22933/54850/408/255488/9695/5527/55666/137886/2272/1047/5516/23194/5663/25827/10952/23321/1601/10956/11315/54546/8405/55284/5886/26224/130507/996/54476/51009/8473/23190/6047/29979/6386/26263/55070/406/3309/3304/26046/56929/146330/4287/5706/23532,164
BP,GO:0016050,vesicle organization,127/5224,306/18800,1.369267856183691e-7,4.77945946083068e-5,3.8059649806291345e-5,4033/858/8675/10058/55048/357/164/3638/10484/84376/22937/80183/208/5007/143425/10564/51510/55004/2060/55361/84313/51028/84079/150368/23607/51552/57679/10497/6860/5537/947/26258/5305/23023/10802/8411/10342/10981/6844/23682/5869/11151/6843/57403/25946/10814/8301/23317/2054/112476/399979/23176/25978/10972/29887/124626/23400/9341/79102/375056/5584/23557/8396/388552/6517/8766/6855/9519/8615/128637/7879/55204/10451/51128/5990/6812/5798/6804/55300/55207/9218/10282/6616/203062/9525/9798/857/5048/950/9146/51762/128866/5872/1201/5071/79720/5819/81833/54732/1385/10228/25956/6272/6845/9217/8724/6857/57393/23325/63915/149371/9847/8674/1182/6281/1742/6504/10881/11063/6386/7306/143187/23673/9342/83871/5861/57617,127
BP,GO:0018205,peptidyl-lysine modification,156/5224,392/18800,1.4312014145907474e-7,4.77945946083068e-5,3.8059649806291345e-5,6018/200424/84444/54790/64324/54556/84787/1789/4015/83852/54799/9643/2653/79609/9759/9869/6877/23411/3670/51105/10933/23522/8202/3976/4089/57178/54107/3720/51111/4017/2033/84171/8085/79829/10626/4837/4193/53335/55209/57343/405/80314/538/7994/8520/57609/10891/387893/29843/5187/63894/51588/80335/114799/6688/7329/5926/9474/4654/80854/115426/54880/55818/58508/23338/9767/51742/84332/93624/23408/26122/84193/55170/84695/4297/5563/205564/9734/322/3662/6659/8464/28999/27351/3054/4221/4842/4801/5903/4674/6804/60681/6874/10902/23410/4802/11107/6839/6883/23181/64769/6612/151194/79918/140690/27154/4016/672/2122/50943/51547/7862/22933/408/10322/23476/10363/7468/26354/54904/6885/138474/22823/10609/56979/23741/6944/4300/55870/56943/8648/54934/9646/546/60/3713/11315/9913/80218/51230/6418/25950/8473/55683/2672/10943/79960/5970/6879/55183/284058/27097/4602/57337/9063/26036,156
BP,GO:0043547,positive regulation of GTPase activity,115/5224,272/18800,1.6645284075200272e-7,5.144505465577618e-5,4.096657332300205e-5,6356/858/10979/5996/3987/51256/57589/2932/9448/10276/11138/51195/9649/9712/8853/5910/10982/23380/3688/255520/163486/208/55255/55920/50848/203228/92154/6376/5906/7074/4739/51429/64411/3655/9938/57679/11211/5921/112574/10344/9693/65078/85440/11069/81565/8301/26000/6363/6367/4916/5923/9910/1124/6001/50807/4763/5999/64786/23094/128637/7813/129049/4301/6251/221002/23102/5900/23329/115727/146923/10507/10563/9771/6346/23216/9098/26037/10999/29/141/5924/8502/1236/51291/125058/374403/4649/55531/81704/51735/55616/10928/6354/10681/25771/93627/153/6000/23348/395/1399/6281/57533/116/23179/23232/613/83478/23616/6357/1901/4594/22841/6654/25791,115
BP,GO:0071900,regulation of protein serine/threonine kinase activity,149/5224,372/18800,1.702673203737273e-7,5.144505465577618e-5,4.096657332300205e-5,6091/7422/10979/1654/4040/5728/56034/8817/894/905/54619/7128/28951/8600/808/6653/23411/890/3458/493/2180/57214/151195/7855/23636/11214/3156/5155/645121/6788/8322/10252/57493/5795/1033/5291/5159/80824/959/4515/81848/57679/5154/11211/7026/9134/5899/9693/57551/8900/51763/25/6363/10019/5058/10926/10178/4916/183/120892/142679/54956/5470/3087/51755/7786/150/11235/8826/9175/8754/4763/658/79616/5716/6789/9370/4217/10886/993/8654/53632/57761/219771/1026/2965/28984/10221/92335/10114/205428/11213/836/4221/9802/64853/10454/26524/2690/1027/4878/4296/4294/387/857/5609/2246/23533/9146/5569/5770/1815/5571/8536/54106/1029/3654/3481/7039/5319/253260/6885/2043/79935/3357/124790/801/152559/9344/5663/5925/1601/60/27250/57018/26191/6868/3356/2321/80310/1436/6609/5577/5629/51719/6654/56892/5575/5573,149
BP,GO:0007519,skeletal muscle tissue development,73/5224,155/18800,2.2068461016037995e-7,6.295684430150748e-5,5.013360750648846e-5,2006/858/8531/905/1310/7832/8320/9328/2353/2047/4637/2033/56261/6840/1073/6198/9750/9975/7504/2660/7026/5530/4209/4654/90/6258/93185/3142/221662/5339/131377/10472/8819/51778/1756/4763/9734/4851/3344/607/51804/79647/57462/3131/51676/387/6901/857/6664/64855/1432/8929/57190/3235/3481/10370/11023/6497/54715/9148/10211/5925/2317/688/57486/245806/58/1827/26263/406/4208/4868/467,73
BP,GO:0001659,temperature homeostasis,81/5224,177/18800,2.2821235917016104e-7,6.295684430150748e-5,5.013360750648846e-5,7422/1734/57561/56034/5565/8600/3397/4857/2180/1268/2827/55856/9572/4237/23135/7067/3952/5021/1812/10891/9673/1910/133522/5733/55818/85440/3226/2628/2167/5618/64641/2697/8864/4849/51043/4851/57406/9536/3662/9370/4858/58488/2887/192111/4923/7090/857/79071/43/6774/25979/8929/4012/2104/3596/5743/4883/7253/115209/3606/55198/153/5925/3480/23228/155/23090/116/6868/3516/3356/2308/8473/1051/2778/6588/406/6009/2034/948/18,81
BP,GO:0050804,modulation of chemical synaptic transmission,167/5224,429/18800,2.9088925309270656e-7,7.690384628638429e-5,6.123984275635927e-5,26045/25897/3908/5728/51247/2932/10718/808/23085/2332/10368/760/23621/773/2898/1268/8573/3688/2047/4130/440275/347733/488/9495/27253/8526/22849/5908/9890/54915/6376/5906/2534/5021/1812/2915/2914/9229/5789/9228/2771/41/54413/6146/6860/1139/1395/5621/5530/9211/5217/1979/57497/6844/9693/10590/4355/23467/2913/10814/25953/23373/57616/112476/27065/25/783/84961/84502/5923/183/120892/409/8525/27185/9783/23557/22839/150/729956/3845/2670/9145/794/4763/6855/23657/477/5999/55607/22986/56853/57406/1143/9370/6722/5566/8831/2903/152330/388336/999/6812/4131/80863/6804/4915/23316/774/6616/28964/57282/27020/26037/29/9378/43/3706/5924/339302/55784/575/1201/6507/5579/9775/64854/5071/54899/5743/6857/5581/2043/9498/9148/10211/4884/81832/57338/5663/1996/8564/10142/23228/2897/25769/1742/9590/347730/3356/613/27345/1141/2890/5577/2895/8224/5764/4885/2918/152404/4208/627/57617/7532/2752/5575,167
BP,GO:0099177,regulation of trans-synaptic signaling,167/5224,430/18800,3.465282734658506e-7,8.794887580563288e-5,7.003518790046665e-5,26045/25897/3908/5728/51247/2932/10718/808/23085/2332/10368/760/23621/773/2898/1268/8573/3688/2047/4130/440275/347733/488/9495/27253/8526/22849/5908/9890/54915/6376/5906/2534/5021/1812/2915/2914/9229/5789/9228/2771/41/54413/6146/6860/1139/1395/5621/5530/9211/5217/1979/57497/6844/9693/10590/4355/23467/2913/10814/25953/23373/57616/112476/27065/25/783/84961/84502/5923/183/120892/409/8525/27185/9783/23557/22839/150/729956/3845/2670/9145/794/4763/6855/23657/477/5999/55607/22986/56853/57406/1143/9370/6722/5566/8831/2903/152330/388336/999/6812/4131/80863/6804/4915/23316/774/6616/28964/57282/27020/26037/29/9378/43/3706/5924/339302/55784/575/1201/6507/5579/9775/64854/5071/54899/5743/6857/5581/2043/9498/9148/10211/4884/81832/57338/5663/1996/8564/10142/23228/2897/25769/1742/9590/347730/3356/613/27345/1141/2890/5577/2895/8224/5764/4885/2918/152404/4208/627/57617/7532/2752/5575,167
BP,GO:0106106,cold-induced thermogenesis,69/5224,146/18800,3.979426051149253e-7,9.351651220200746e-5,7.446879160045387e-5,7422/1734/57561/56034/5565/3397/4857/2180/2827/55856/9572/4237/23135/7067/3952/5021/10891/9673/133522/55818/85440/3226/2628/2167/5618/64641/2697/8864/4849/51043/4851/57406/3662/9370/4858/58488/2887/192111/7090/857/79071/43/25979/8929/4012/2104/3596/4883/7253/115209/3606/55198/153/5925/3480/23228/155/23090/116/6868/3516/8473/1051/2778/6588/406/6009/2034/948,69
BP,GO:0120161,regulation of cold-induced thermogenesis,69/5224,146/18800,3.979426051149253e-7,9.351651220200746e-5,7.446879160045387e-5,7422/1734/57561/56034/5565/3397/4857/2180/2827/55856/9572/4237/23135/7067/3952/5021/10891/9673/133522/55818/85440/3226/2628/2167/5618/64641/2697/8864/4849/51043/4851/57406/3662/9370/4858/58488/2887/192111/7090/857/79071/43/25979/8929/4012/2104/3596/4883/7253/115209/3606/55198/153/5925/3480/23228/155/23090/116/6868/3516/8473/1051/2778/6588/406/6009/2034/948,69
BP,GO:0031589,cell-substrate adhesion,144/5224,364/18800,6.394222927582268e-7,1.4489765884110532e-4,1.1538447388118378e-4,1281/1277/50509/7422/56999/340533/1295/10979/1946/3987/5728/1021/2932/3915/3397/5295/9448/56940/1307/8455/1896/4811/8573/23380/3688/2047/998/4771/158326/55920/5467/10630/2049/3175/5155/4680/342184/90102/5796/54453/6376/8322/22795/7074/5795/4739/5291/10551/3655/2013/9748/1605/81848/947/59277/22801/3913/10391/1305/5921/22998/11151/25/54822/6614/27185/10018/9341/8499/87/8516/25890/8754/64098/7414/4763/56672/4851/6789/9647/54749/56477/6722/5054/63923/6251/4221/1955/558/2523/3687/10516/387/6480/2316/7264/5829/6239/1236/967/57662/1029/3693/3685/284/1845/5613/255743/9480/5581/51057/1490/57669/9344/3204/1601/4088/71/285/55604/395/1399/6281/9404/7402/8324/613/9358/1942/3491/5212/27329/10085/2824/5879/5861/3694/2017/7399/133584/2241/948/26033/4287,144
BP,GO:0010975,regulation of neuron projection development,166/5224,431/18800,6.933345460832784e-7,1.4724825927176093e-4,1.1725629704358216e-4,6091/5376/7422/1946/23251/4135/11075/5728/64175/2932/3397/26039/4139/5361/4058/4919/9314/1268/411/23363/163404/57611/2033/2049/23258/65009/5396/53335/51225/85458/6376/5906/7074/2534/1272/818/57609/3655/10498/10154/84079/5789/257194/285016/55714/7504/2288/1826/3196/5979/26052/5530/2664/10371/2281/9693/65078/5756/81565/9423/80031/23373/4734/25/170506/2803/5058/4916/183/23327/120892/27185/9863/8499/5584/23557/10501/4099/2670/9175/8766/5362/7431/5754/114788/6498/6722/1949/8831/23111/466/9760/57715/4131/25987/5458/4915/23303/4038/23566/23316/6616/10507/1608/387/10505/116983/9798/2056/54910/5048/950/2316/27020/26037/1954/162427/22902/3706/2011/64689/8536/10509/8153/5653/27/57698/26115/57118/9037/8724/10611/2043/4168/6049/54606/3984/152559/29116/5663/1996/23271/3480/57556/1601/55704/382/1399/8507/1942/1141/8428/2672/1523/2895/64764/10500/5764/25791/627/9706/3309/5274/10090/389658/5587,166
BP,GO:0060538,skeletal muscle organ development,76/5224,167/18800,6.962092636962692e-7,1.4724825927176093e-4,1.1725629704358216e-4,2006/858/8531/905/1310/7832/8320/9328/2353/2047/4637/2033/56261/6840/1073/6198/1605/9750/9975/7504/2660/7026/5530/4209/4654/90/9215/6258/93185/3142/221662/5339/131377/10472/8819/51778/1756/4763/9734/4851/3344/607/8087/51804/79647/57462/3131/51676/387/6901/857/6664/64855/1432/8929/57190/3235/3481/10370/11023/6497/54715/9148/10211/5925/2317/688/57486/245806/58/1827/26263/406/4208/4868/467,76
BP,GO:1990845,adaptive thermogenesis,73/5224,159/18800,7.567062248320934e-7,1.5488067730837525e-4,1.2333412153460268e-4,7422/1734/57561/56034/5565/3397/291/6653/4857/2180/2827/55856/9572/4237/23135/7067/3952/5021/10891/9673/133522/55818/85440/3226/2628/2167/5618/7352/64641/2697/8864/4849/51043/4851/57406/3662/9370/4858/58488/2887/192111/7090/857/79071/43/25979/8929/4012/2104/3596/4883/7253/115209/3606/55198/153/5925/148811/3480/23228/155/23090/116/6868/3516/8473/1051/2778/6588/406/6009/2034/948,73
